doi,replicated,discipline,year,what_manipulated,what_measured,experiment,design,manipulation,effect_structure,focus,clarity,rigor,transparency,N,ES,P
10.1037/0096-3445.136.4.569,0,Cognitive Psychology,2007,"experienced processing difficulty or disfluency (degraded font, difficult-to-read lettering, furrowed brow) and reasoning task type",use of heuristics and defaults; reliance on peripheral cues in persuasion; syllogistic reasoning accuracy; impact of intuitive biases,"Four experiments induced incidental experiences of processing difficulty via perceptual (font degradation, difficult lettering) or motor (furrowed brow) manipulations. Units then completed reasoning tasks assessing heuristic reliance (Studies 1, 3), persuasion bias (Study 2), or syllogistic reasoning (Study 4). Difficulty-induced disfluency reduced reliance on intuitive heuristics and peripheral cues, and improved reasoning accuracy. Results supported that metacognitive experiences of difficulty activate analytical System 2 reasoning processes that override intuitive defaults.",between-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,41.0,,0.05
10.1037/0278-7393.34.1.128,1,Cognitive Psychology,2008,recall task (order recall vs. timing recall) and stimulus timing (irregular spacing) and grouping instruction,serial order recall accuracy; timing recall accuracy; pause timing during recall; effect of temporal grouping,"Three experiments examined relationships between short-term memory for order and timing information. Units were presented digits spaced irregularly in time, then given postcued (Exp. 1-2) or precued (Exp. 3) instructions to recall order or timing. Grouping instructions, recall pause timing, input-output timing correlations, and effects of temporal crowding vs. isolation were analyzed. Temporal grouping affected both order and timing recall similarly. Recall timing was predicted by input timing. Temporally isolated items showed better recall than crowded items in precued conditions.",between-subjects,randomized-experiment,main-effect,few-confirmatory,clearly-operationalized,standard,none,40.0,0.6,0.001
10.1037/0278-7393.34.1.146,0,Cognitive Psychology,2008,item type (words vs. nonwords vs. orthographically similar pairs) and participant strategy (guessing vs. strict identification) and experimental design (with vs. without identical items),repetition blindness: failure to detect repeated items; repetition advantage: better detection of repetitions; false alarm rate for similar items,"Six experiments examined when repetition blindness (RB) occurs for nonwords vs. words. Initial replication (Exp. 1) found RB for words but repetition advantage for nonwords. Experiments 2-6 tested whether strategy differences explained the discrepancy. When encouragement and task design allowed partial-information guessing, repetition advantage appeared (Exp. 2). When guessing was detectable via inclusion of non-identical similar items, RB appeared for both word and nonword conditions (Exp. 3-4). In designs with no identical items, RB was reliable for similar pairs (Exp. 5-6). Participant strategy modulated the phenomenon.",between-subjects,randomized-experiment,interaction,few-confirmatory,clearly-operationalized,standard,none,24.0,7.212,0.003
10.1037/0278-7393.34.1.167,0,Cognitive Psychology,2008,characteristics of the stochastic environment (task structure with different learning requirements),risk-taking behavior and quality of risk-taking assessment,Units performed sequential decision-making tasks with varying task structures that imposed different learning demands across stochastic environments. A Bayesian model was fit to explain how learning and decision-making processes changed with task context. Analysis evaluated whether the model's parameters and predictions matched observed behavior across the different task types.,within-subjects,quasi-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,68.0,,0.05
10.1037/0278-7393.34.1.186,1,Cognitive Psychology,2008,sampling strategy (natural sampling versus deliberate sampling of relevant information) and feedback valence (positive versus negative),accuracy of inferences about population parameters from sample data,"Units acted as a manager and sampled information from a computerized database to evaluate providers and products, choosing between a natural sampling strategy or a deliberate strategy optimized for inference. After sampling ended, units made probabilistic inferences about the actual population parameters. Computer simulations and experiments compared inference accuracy across the two strategies.",within-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,39.0,,0.001
10.1037/0278-7393.34.1.219,0,Cognitive Psychology,2008,none (theoretical model evaluation),distribution of effect sizes for two memory phenomena,A computational model was applied to predict effect-size distributions from immediate memory tasks. Model predictions were compared against observed distributions of phonological confusion effects and word-length effects. Analysis examined whether the model correctly predicted the frequency of reversals (cases where the expected effect direction flipped) and how effect sizes varied as a function of overall performance level.,observational or correlational,observational,simple-association,few-confirmatory,clearly-operationalized,standard,none,100.0,,0.05
10.1037/0278-7393.34.1.230,0,Cognitive Psychology,2008,retrieval practice followed by relearning (presence versus absence of prior retrieval-induced forgetting),final recall accuracy of relearned items and cumulative forgetting effects,"Units studied category-exemplar pairs, underwent retrieval practice and relearning trials, and then took a final recall test. The key manipulation was whether items had been subjected to retrieval-induced forgetting before relearning. Analysis compared recall of relearned items that had been forgotten versus those that had not.",within-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,240.0,,0.001
10.1037/0278-7393.34.1.237,0,Cognitive Psychology,2008,stimulus presentation schedule (intermixed presentation versus blocked presentation of similar stimuli),discrimination accuracy between similar stimuli on a test,Units received exposure to pairs of similar visual stimuli under either intermixed conditions (where presentations of the two stimuli were separated from one another) or blocked conditions (where all presentations of one stimulus preceded all presentations of the other). Discrimination performance on a subsequent test compared the two exposure regimes. Analysis tested whether spacing differences between the conditions could explain the observed effect.,within-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,32.0,,
10.1037/0278-7393.34.1.243,0,Cognitive Psychology,2008,"phonological similarity between to-be-remembered items and irrelevant sound stream, and type of recall test (free versus serial)",recall accuracy and intrusion error rate,"Units studied lists of phonologically related items while hearing an irrelevant sound stream that either matched or differed in phonological content. Recall was tested in two formats: free recall or serial-position recall. Analysis examined whether phonological similarity between items and sounds disrupted each recall type differently, and whether category-cueing processes explained the disruption pattern.",mixed,randomized-experiment,interaction,single-hypothesis,clearly-operationalized,standard,none,48.0,0.52,0.05
10.1037/0278-7393.34.1.249,0,Cognitive Psychology,2008,"temporal relationship between picture and distractor word (simultaneous versus delayed by 1000 ms), semantic relatedness of distractor to target, and frequency of target name",naming latency,"Units named pictures with superimposed distractor words. In one condition, pictures and words appeared simultaneously and units responded immediately. In another condition, the picture preceded the word by 1000 ms and units delayed their response. Distractors were either semantic coordinates or unrelated to the picture. Analysis examined whether semantic interference effects and frequency effects appeared in both timing conditions.",within-subjects,randomized-experiment,interaction,few-confirmatory,clearly-operationalized,standard,none,32.0,,0.06
10.1037/0278-7393.34.1.50,1,Cognitive Psychology,2008,predictable switches between stimulus categories across trials,magnitude of effects of stimulus category on phonological processing,Units read aloud words and nonwords across five experiments. Stimulus category (word versus nonword) switched unpredictably or predictably between trials. Changes in reading processing were inferred from the magnitude of category effects on response latency. Analysis tested whether phonological processes adapted according to predictions of the pathway control hypothesis.,within-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,16.0,0.026,0.1
10.1037/0278-7393.34.1.80,1,Cognitive Psychology,2008,type of element relationship embedded in stimulus sequences (adjacent versus nonadjacent dependencies) and task demands requiring active processing of specific relationship types,"learning of relations between elements, measured by recognition or discrimination of new instances",Units encountered sequences of materials containing both adjacent and nonadjacent element pairings. Task demands determined which type of relationship units needed to actively process. Learning was assessed by testing units on new sequences containing only the type of relationship they had been required to process. Analysis evaluated whether spatial contiguity of elements or attentional focus determined what relationships were learned.,within-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,24.0,0.51,0.01
10.1037/0278-7393.34.1.97,1,Cognitive Psychology,2008,none (computational model application to existing data),"fit of single-system model to patterns of priming, recognition, and fluency effects","A computational model was applied to continuous identification paradigms from prior studies. Model simulations were used to test whether patterns interpreted as evidence for multiple memory systems could instead be explained by a single unified system. Analysis examined priming without recognition, changes in reaction time patterns across recognition outcomes, and fluency effects in amnesic patients.",observational or correlational,observational,simple-association,few-confirmatory,clearly-operationalized,standard,none,24.0,,0.002
10.1037/0278-7393.34.2.302,0,Cognitive Psychology,2008,language background (monolingual versus bilingual),inhibitory control performance across three different inhibition paradigms,"Monolingual and bilingual units completed three tasks measuring different aspects of inhibition: stop signal performance, inhibition of return, and attentional blink. Measures of active inhibition (stopping action in progress) and reactive inhibition (maintaining goals to filter irrelevant information) were derived from task performance. Between-group comparisons tested whether language background predicted inhibition abilities.",between-subjects,observational,main-effect,few-confirmatory,clearly-operationalized,standard,none,18.0,,0.002
10.1037/0278-7393.34.2.343,1,Cognitive Psychology,2008,semantic relations between prime words (categorical versus functional versus unrelated alignment with arithmetic structure),magnitude of automatic activation of arithmetic facts,"Units performed a task designed to elicit obligatory activation of arithmetic facts when seeing number pairs. Before seeing each number pair, word pairs were presented that either aligned or misaligned with the arithmetic structure through their semantic relation. Analysis measured whether semantic primes facilitated automatic activation of the corresponding arithmetic fact, compared across aligned and misaligned priming conditions.",within-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,154.0,,0.001
10.1037/0278-7393.34.2.353,0,Cognitive Psychology,2008,"task context (picture naming, distractor picture type, word presentation, word reading) and semantic or phonological relatedness of concurrent stimuli",latency of gaze shifts and vocal response timing,"Units performed picture naming and word reading tasks while eye movements and naming latencies were recorded. In different experiments, units encountered semantically related distractors, phonologically related distractors, or unrelated distractors, and the effect of distractor on latencies was measured. Analysis examined how activation spreads from concepts to phonological forms and whether activation patterns differ across task contexts.",within-subjects,randomized-experiment,interaction,few-confirmatory,clearly-operationalized,standard,none,24.0,,0.02
10.1037/0278-7393.34.2.369,1,Cognitive Psychology,2008,attentional cue timing (retrospective cue presented after encoding and before testing versus no cue),change detection accuracy in visual working memory,"Units encoded arrays of visual items and performed change detection on a subsequent test. On some trials, a retrospective spatial cue was presented 1 second after encoding and 0.5 seconds before testing, directing attention to one item. Analysis compared change detection accuracy between cued and uncued trials and tested whether improvements resulted from reduced decay, reduced interference, or increased attentional robustness against interference.",within-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,12.0,,0.05
10.1037/0278-7393.34.2.399,1,Cognitive Psychology,2008,the statistical structure of feature dimensions (perfect versus partial covariation between color and shape features),"detection of learned statistical regularities, measured as implicit learning of feature patterns","Units were exposed to sequences of colored shapes where shape-color relationships varied. In some conditions, each shape appeared in only one color (perfect covariation). In others, shapes and colors were partially decoupled. Implicit learning was tested by presenting new sequences and measuring whether units detected violations of learned regularities. Analysis determined whether learning operated over integrated objects or independent features, depending on feature correlation structure.",within-subjects,randomized-experiment,interaction,few-confirmatory,clearly-operationalized,standard,none,8.0,1.023,0.023
10.1037/0278-7393.34.2.408,0,Cognitive Psychology,2008,item strength manipulation method (spaced presentations versus processing time versus processing depth) and directed forgetting instruction,magnitude of directed forgetting effect (recall difference between items to-be-remembered and items to-be-forgotten),"Units studied lists of items that were strengthened either through spaced exposures or through deeper processing without context changes. After study, units received instructions to forget some items. Final recall was tested and the magnitude of forgetting for strong versus weak items was compared across the different strength-manipulation methods. Analysis evaluated whether context strength or item strength determines the directed forgetting effect.",within-subjects,randomized-experiment,interaction,single-hypothesis,clearly-operationalized,standard,none,96.0,0.05,0.05
10.1037/0278-7393.34.2.430,1,Cognitive Psychology,2008,notational format of numbers (same notation versus different notations; Arabic versus Indian numerals),automatic processing of numerical magnitude (reaction time and accuracy to task-irrelevant numerical dimension),"Bilingual units performed size comparison and same-different judgment tasks with digit pairs. Pairs were presented in the same notation or different notations. In the size comparison task, units compared physical size while irrelevant numerical magnitude was varied. In same-different task, units judged physical identity while notation congruity varied. Analysis measured whether numerical magnitude was automatically processed across notations.",within-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,32.0,,0.001
10.1037/0278-7393.34.3.439,0,Cognitive Psychology,2008,"type of test probe (positive probes matching list items, new probes, intrusion probes that matched items studied in different locations) and spatial location",recognition accuracy and serial position effects,"Units studied lists of items in specific spatial locations and performed short-term recognition by indicating whether probes matched list items at the specified locations. Probe types included matches, new items, and intrusions (matching items from different locations). Serial position curves were plotted for each probe type. Analysis examined whether dual-process theory (familiarity and recollection) predicted the observed patterns.",within-subjects,randomized-experiment,simple-association,few-confirmatory,clearly-operationalized,standard,none,32.0,0.31,0.001
10.1037/0278-7393.34.3.460,0,Cognitive Psychology,2008,stereotype activation (source identity labeled as consistent versus inconsistent with stereotype) and expectation congruence of test items with stereotypes,source attribution accuracy and false memory recollections,"Units studied statements presented by two sources and learned that one source had a stereotyped identity. On a source memory test, units attributed items to sources. Analysis examined whether stereotype-consistent attributions increased and whether units reported detailed recollections of stereotypes they had falsely remembered. Experiments tested whether false recollections resulted from familiarity misattribution or from constructed recollections.",within-subjects,randomized-experiment,main-effect,few-confirmatory,clearly-operationalized,standard,none,39.0,0.32,0.001
10.1037/0278-7393.34.3.478,0,Cognitive Psychology,2008,number of task switches within a continuous complex span task and concurrent working memory load,recall accuracy in the complex span task,Units performed continuous complex span tasks requiring maintenance of items while performing processing operations that involved task switches. The number of task switches per trial was varied while keeping time parameters constant. Concurrent working memory load was manipulated orthogonally. Analysis examined whether recall performance declined as a function of the number of switches and whether item maintenance load influenced switching effects.,within-subjects,randomized-experiment,main-effect,few-confirmatory,clearly-operationalized,standard,none,25.0,,0.05
10.1037/0278-7393.34.3.495,1,Cognitive Psychology,2008,stimulus quality (visual degradation) and word frequency; varied nonword type (legal vs. pseudohomophone),lexical decision speed (response time) and response-time distribution characteristics,"Units performed lexical decisions on words and nonwords varying in stimulus quality and frequency, with nonword type manipulated between conditions. Response times and distributional properties were analyzed to reveal whether effects combined additively or interactively. Four experiments tested different combinations of stimulus properties and nonword types. Mean response times and full response-time distributions were compared across conditions.",between-subjects,randomized-experiment,interaction,single-hypothesis,clearly-operationalized,standard,none,32.0,0.14,0.03
10.1037/0278-7393.34.3.514,1,Cognitive Psychology,2008,"item-specific proportion congruent: how often a particular word appears in its congruent vs. incongruent color (varied probability, e.g., 75% vs. 25%)",Stroop effect magnitude (difference in response time between congruent and incongruent trials),Units performed a Stroop task where stimulus words appeared in matching or mismatching colors. The frequency of congruency was manipulated separately for each word item. Response times were analyzed to compare predictions of modulation versus contingency hypotheses. Reanalysis of prior data and new experiments tested whether units adjusted attention based on word identity or predicted expected responses.,between-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,95.0,0.038,0.028
10.1037/0278-7393.34.3.524,1,Cognitive Psychology,2008,sequence repetition: presentation of an identical sequence of items multiple times vs. varying sequences within an experimental session,serial recall accuracy and probability of repeating previously produced responses (correct or erroneous),"Units performed serial recall of item sequences throughout a session. One sequence was repeated across trials while others varied. Learning was indexed by the increased probability of reproducing prior responses. Analysis examined both correct responses (standard Hebb effect) and erroneous responses, revealing cumulative learning of both. Statistical tests assessed how prior response frequency predicted future recall.",within-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,24.0,1.51,0.001
10.1037/0278-7393.34.3.546,1,Cognitive Psychology,2008,"direction of practice and operand type: whether units practiced multiplication only, factoring only, or both; tested on multiplication or factoring problems",accuracy and speed in fact retrieval (multiplication or factoring response),Units practiced arithmetic problems (multiplication or factoring) and were tested on related problems in the alternate direction. Experiment 1 tested transfer from multiplication to factoring; Experiment 2 tested transfer from factoring to multiplication; Experiment 3 trained both directions. Performance was compared within items to detect facilitation or interference. Bidirectional links in memory were inferred from transfer patterns.,between-subjects,randomized-experiment,interaction,single-hypothesis,clearly-operationalized,standard,none,36.0,,0.001
10.1037/a0012833,0,Cognitive Psychology,2008,"action vs. inaction goals instilled through word primes (e.g., 'action' vs. 'rest'); tested across multiple behavioral contexts","magnitude of motor output (e.g., doodling, eating) and cognitive output (e.g., recall, problem-solving)",Units received word primes designed to activate action or inaction goals. Subsequent behavior was measured across diverse tasks including motor and cognitive domains. Initial experiments (1-5) tested whether the same primes influenced qualitatively different behaviors; final experiments (6-7) tested whether goal-achievement reduced prime effects. Performance was compared between action and inaction prime conditions.,between-subjects,randomized-experiment,main-effect,many-exploratory,clearly-operationalized,standard,none,36.0,,0.02
10.1037/a0015960,0,Social Psychology,2009,"scenario content: whether described action involved gay or heterosexual kissing; measured disgust sensitivity (trait, correlational)",attribution of intentionality to an agent; implicit automatic associations (via Implicit Association Test),"Study 1: Units read scenarios where an agent's action had a side effect of promoting gay or heterosexual kissing, then rated whether the outcome was intentional. Study 2: Units completed an Implicit Association Test measuring automatic associations with sexual orientation groups. Disgust sensitivity was measured as a trait. Correlations and moderation analyses examined whether disgust sensitivity predicted judgment patterns and automatic associations.",observational or correlational,observational,simple-association,single-hypothesis,clearly-operationalized,standard,none,44.0,0.7,0.003
10.1037/a0016795,1,Cognitive Psychology,2009,visual perspective in action imagery: first-person own perspective vs. third-person observer perspective; measured and manipulated within imagery and photography,action identification level: abstract (goal/outcome-focused) vs. concrete (component-process-focused) interpretation,Units viewed or imagined actions presented from first-person or third-person visual perspectives. Action identification level was measured via response to how units would describe the action. Experiments manipulated perspective through instructions or stimuli and assessed resulting identification level. Bidirectional tests examined whether perspective influenced identification and vice versa.,mixed,randomized-experiment,interaction,single-hypothesis,clearly-operationalized,standard,none,172.0,1.49,0.001
10.1037/a0018983,0,education,2010,native language background: English vs. Spanish vs. Asian-language speaking units; timing via longitudinal assessment,reading achievement and growth rates in overall reading and reading subskills,Growth trajectories were estimated from longitudinal reading assessment data in a large population sample. Units were grouped by native language. Multilevel latent variable growth modeling estimated initial achievement and growth rates. Socioeconomic status effects were modeled as a covariate. Language-group differences were compared in trajectories and the effects of SES were examined as a moderator.,longitudinal,observational,simple-association,few-confirmatory,clearly-operationalized,standard,none,12012.0,,0.0005684714
10.1037/a0019006,1,Differential Psychology,2010,"song stimuli: naturally varying in autobiographical salience, arousal, familiarity, emotional valence; individual differences in nostalgia proneness and personality","nostalgic experience intensity; emotional response (positive, negative, mixed); mood and personality dimensions as moderators","Units listened to music excerpts and rated nostalgic feeling. Song properties (salience, arousal, familiarity, emotions elicited) were assessed. Individual differences (nostalgia proneness, mood, personality dimensions) were measured. Multiple regression and moderation analyses examined how song and person factors predicted nostalgia intensity and emotional responses.",observational or correlational,observational,simple-association,many-exploratory,clearly-operationalized,standard,none,226.0,0.1116,0.01
10.1037/a0019337,1,Cognitive Psychology,2010,working memory demand: maintenance load (1 vs. 2 items) and distractor interference (confusable vs. non-confusable with memory items); within-subjects factorial design,accuracy and speed in delayed recognition of memoranda; performance on trial immediately following high/low demand trials,Units performed a working-memory delayed-recognition task. Demand factors (memory load and distractor confusability) were crossed within-subjects. Performance on a trial was analyzed as a function of demand level on the previous trial. Dynamic adjustments in cognitive control were inferred from post-high-demand performance benefits relative to post-low-demand performance.,within-subjects,randomized-experiment,interaction,single-hypothesis,clearly-operationalized,controls-and-power-reported,none,54.0,0.33499999999999996,0.001
10.1037/a0019689,0,Social Psychology,2010,color of stimulus context: red background/clothing vs. other colors; varied across 7 experiments; gender of perceiver (women vs. men perceiving men vs. women),"perceived attractiveness, sexual desirability, and status; awareness of color manipulation","Units viewed images of men presented on red or control-color backgrounds or in red vs. control-color clothing. Attractiveness and sexual desirability were rated. Status perceptions were measured. Seven experiments tested effects across contexts (backgrounds, clothing, photographs). Gender comparisons examined whether effects were specific to women viewing men. Awareness was assessed through debriefing.",between-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,33.0,0.855,0.05
10.1037/a0020092,0,,2010,social class (lower vs. upper socioeconomic status) as independent variable measured via demographic characteristics or manipulated via prime/context,"prosocial behavior: generosity, charity, trust, helpfulness; mediators (egalitarian values, compassion); moderators",Four studies examined prosocial behavior across social-class groups. Study 1 measured generosity; Study 2 measured charitable giving; Study 3 measured trust; Study 4 measured helping. Class differences were analyzed. Mediation analyses tested whether egalitarian values and compassion explained class-based prosocial differences. Moderator analyses examined boundary conditions.,observational or correlational,observational,mediation-or-moderation,single-hypothesis,clearly-operationalized,standard,none,98.0,0.15000000000000002,0.030000000000000002
10.1037/a0020757,0,Psychology,2010,temporal direction: judgment of unethical or ethical actions in the future (prospective) vs. equivalent past actions (retrospective); event distance held constant,moral judgment severity; expected punishment; willingness to sacrifice for fair treatment; emotional intensity,Seven studies presented units with scenarios of good or bad deeds located in the future or equidistant past. Units rated moral acceptability and judgment severity. Punishment deservingness was assessed. Economic sacrifice was measured via game decisions. Emotional responses were examined. Temporal direction and valence (good vs. bad) were analyzed with emotions as potential mediators.,between-subjects,randomized-experiment,interaction,single-hypothesis,clearly-operationalized,standard,none,116.0,0.43,
10.1037/a0021524,0,Social Psychology,2011,"temporal sequence: response obtained before (vs. after) target stimulus; established effects time-reversed (erotic stimuli, negative stimuli, priming target, habituation target, recall target)","response magnitude (approach/avoidance, priming effect, habituation, recall facilitation); effect sizes and statistical significance",Nine experiments tested for retroactive influence by reversing the temporal order of stimulus and response in well-established psychological effects. Units' responses were obtained before target stimulus events occurred. Effect sizes (Cohen's d) were calculated across conditions. Individual differences in stimulus-seeking were measured and correlated with effect magnitude. Statistical significance and replication across experiments were examined.,between-subjects,randomized-experiment,main-effect,many-exploratory,vague,standard,none,100.0,0.25,0.28500000000000003
10.1037/a0023527,0,Social Psychology,2012,"physical warmth experience: warm baths/showers, physical coldness manipulation, or interpolated warmth following rejection recall",loneliness (chronic and induced); affiliation and emotion-regulation needs; awareness of physical-social warmth link; bathing frequency,"Study 1 correlated chronic loneliness with warm-bath frequency. Study 2 manipulated physical coldness and measured loneliness increase. Study 3 triggered affiliation/emotion-regulation needs via rejection recall, then provided warmth; needs were remeasured. Study 4 assessed whether units explicitly recognize the warmth-loneliness link. Correlations, manipulations, and mediation analyses tested substitutability of physical and social warmth.",mixed,mixed,mediation-or-moderation,single-hypothesis,clearly-operationalized,standard,none,51.0,0.57,0.0001
10.1037/a0025035,0,psychology,2012,scope of information processing: associative progression (connecting multiple concepts) vs. restricted single-topic processing; manipulated via task instructions,mood state; self-reported affect,Two experiments manipulated information-processing scope and measured subsequent mood. Experiment 1 compared associative progression to single-topic processing. Experiment 2 tested whether conceptual plurality alone (without progression) accounted for mood differences. Statistical comparisons examined mood as a function of processing type. Analysis converged on the role of conceptual advancement rather than plurality.,between-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,77.0,0.0872368,0.01
10.1037/a0025345,0,Social Psychology,2012,"social structure type: hierarchical relationships (asymmetric power) vs. egalitarian relationships (symmetry) vs. other comparison structures; presentation modality (pairs of faces, diagrams, learned relationships)","processing fluency (identification speed, memorization time, learning ease); preference ratings; decision-making efficiency",Five studies presented units with social relationships or organizations varying in hierarchy. Study 1: facial-dominance pairs identified faster in hierarchy vs. equality. Study 2: hierarchy diagrams memorized faster. Study 3: learned hierarchical relationships fastest. Study 4: hierarchical companies required easier decisions. Study 5: tested familiarity basis. Fluency and preference were measured; liking was predicted by processing ease.,between-subjects,randomized-experiment,main-effect,few-confirmatory,clearly-operationalized,standard,none,94.0,0.1002738247,0.02
10.1037/a0025883,1,Psychology,2011,body focus: revealing vs. nonrevealing pictures; or directed attention to physical vs. psychological characteristics,mind perception on two dimensions (agency: self-control/action; experience: emotion/sensation); moral responsibility; moral patienthood (sensitivity to harm),Six experiments tested the effect of body focus on mind attribution. Experiments 1-4 varied body focus (pictures or attention direction) and measured agency and experience perceptions. Experiments 5-6 tested moral intuitions (responsibility and sensitivity to harm). Body focus was compared between conditions. Analysis examined the redistribution of perceived mental capacities and consequences for moral judgment.,between-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,66.0,-0.59,0.05
10.1037/a0027407,1,Psychology,2012,"purchase type: experiential (vacations, concerts) vs. material (clothes, gadgets); framing of items as experiential vs. material qualities","self-centrality: physical proximity to self (drawing task), spontaneous mention in life narrative, overlap with identity; perceived insight into person's true self; satisfaction and happiness",Five studies examined whether experiences are more self-central than possessions. Study 1: units drew purchases closer physically if experiential. Study 2: experiential purchases mentioned more in life stories. Studies 3A-3C: experiential frame increased perceived self-overlap and insight value. Study 5: self-centrality correlated with greater satisfaction. Comparisons tested whether self-centrality explained the experience-satisfaction advantage.,mixed,randomized-experiment,mediation-or-moderation,single-hypothesis,clearly-operationalized,standard,none,121.0,0.371,0.001
10.1037/a0027598,0,Social Psychology,2012,"secret-keeping: recall or preoccupation with important personal secrets vs. control; secret burden measured as trait (importance, thought devotion)","perception of hills (steepness), distances, effort for physical tasks; helping behavior; action tendency (likelihood of helping with physical tasks)","Four studies examined units who harbored important secrets or were primed to think about them. Units estimated hill steepness, distance to objects, and effort required for tasks. Helping behavior was measured. Burdensome-ness of the secret and cognitive preoccupation were assessed. Comparisons and regressions examined whether secret burden effects paralleled the effects of physical weight on perception and action.",observational or correlational,observational,simple-association,single-hypothesis,clearly-operationalized,standard,none,40.0,0.52,0.001
10.1037/a0028216,1,Cognitive Psychology,2012,"structure of two-outcome choice sequences (timing, magnitude, and presence of zero-padding outcomes)",choice preference (patience vs. impatience in intertemporal decisions),"Units made pairwise choices between sequences involving two monetary outcomes distributed across time. The structure of the sequences was varied systematically (e.g., adding front-end amounts, explicitly stating zero outcomes, relocating timing). Choices were analyzed to detect preference patterns and violations of standard economic predictions, with quantitative fitting of the tradeoff model to choice data.",between-subjects,randomized-experiment,main-effect,few-confirmatory,clearly-operationalized,standard,none,277.0,0.15,0.005
10.1037/a0028964,0,health,2013,"sexual orientation identity status (heterosexual, bisexual, gay across adolescence)","muscularity concern, weight gain attempts, and weight/shape concern trajectories from ages 9-25","A longitudinal cohort of 5,868 units from a prospective study spanning 16 years reported preferences and body-change behaviors across multiple timepoints. Generalized estimating equations modeled the effect of sexual orientation on growth trajectories for three outcomes. Sexual minority status was compared against heterosexual baseline groups to detect differences in developmental patterns.",longitudinal,observational,main-effect,few-confirmatory,clearly-operationalized,standard,none,5867.0,,2.169741e-05
10.1037/a0029288,0,Social Psychology,2013,incidental exposure to money-related primes (subtle reminders of money vs. nonmoney concepts),"endorsement of system-legitimizing beliefs (support for capitalism, belief in just-world, support for group dominance)","Units received primes designed to activate money concepts or control concepts, then completed measures assessing attitudes toward economic systems and social hierarchy. Five separate experiments tested the effect across different outcome measures (system endorsement, victim-blaming, group dominance, market preference, transplant system preference). Statistical comparisons tested whether money primes increased ideology-relevant responses relative to control primes.",between-subjects,randomized-experiment,main-effect,few-confirmatory,clearly-operationalized,standard,none,30.0,0.8,0.043
10.1037/a0029395,1,Psychology,2012,presence vs. absence of overconfidence (naturally varying or experimentally induced),achieved social status within groups and perceived competence by observers,"Across six experiments, units varied in their confidence about their abilities or performances. In observational studies, confident units' subsequent social status in group interactions was measured. In experimental studies, overconfident units were assigned to groups and their status outcomes were tracked. Behavioral analysis identified the mechanisms (signals of competence) linking overconfidence to status. Mediational analyses tested whether desire for status motivated overconfidence.",mixed,quasi-experiment,mediation-or-moderation,few-confirmatory,clearly-operationalized,standard,none,77.0,0.42,0.01
10.1037/a0029649,0,Cognitive Psychology,2013,delay interval between encoding and memory test (short vs. long retention periods),"independent forgetting rates for different object properties (color, state, exemplar identity)","Units were shown real-world objects and later tested on memory for multiple features. Over three experiments, retention intervals were varied to track how different features were forgotten. Statistical independence of feature memory was tested by analyzing whether recall accuracy for one feature predicted accuracy for another. If features are bound in memory, dependence should persist; if separate, independence should emerge over time.",within-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,28.0,0.765,0.053500000000000006
10.1037/a0031047,0,Social Psychology,2014,"received behavioral treatment (greedy, equal, or generous) in a resource-division game followed by opportunity to divide with a new unit",generalized reciprocity behavior (reciprocation of received behavior toward a new unit),"In five experiments, units received initial allocations varying in fairness, then divided resources with a new unit. The tendency to reciprocate received behavior was measured across outcomes. Analyses tested whether receiving greed or generosity was paid forward in kind. Mediation analyses examined the role of affect in driving asymmetries. One experiment manipulated positive affect to test causal predictions.",between-subjects,randomized-experiment,mediation-or-moderation,few-confirmatory,clearly-operationalized,controls-and-power-reported,none,165.0,0.4144624725,0.01
10.1037/a0032108,1,Cognitive Psychology,2014,mode of information collection (active selection vs. passive reception of data),accuracy of category learning and hypothesis testing performance,"Units engaged in a category-learning task under either selection or reception conditions. In selection mode, units chose which observations to examine; in reception mode, data were presented. Yoked pairs ensured units in reception saw identical information sequences to their paired selection learner. Performance was compared across conditions to identify differences arising from the mode of information control rather than information content.",between-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,59.0,,0.07
